,"TABLE 7. NUTRITION: NEWBORNS, INFANTS AND YOUNG CHILDREN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Weight at birth,,,,"Infant and Young Child Feeding (0-23 months)
2013–2018*",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Low birthweight
(%)
2015",,"Unweighed at birth
(%)
2010–2018*",,"Early
initiation
of breastfeeding
(%)",,"Exclusive
breastfeeding
(<6 months) 
(%)",,"Introduction
to solid,
semi-solid or
soft foods 
(6–8 months)
(%)",,"Continued breastfeeding 
(12–23 months) 
(%)",,,,,,"Minimum diet diversity 
(6–23 months)
(%)",,"Minimum meal frequency 
(6–23 months)
(%)",,"Minimum acceptable diet 
(6–23 months)
(%)",,"Zero vegetable or fruit consumption (6–23 months)
(%)",,,,,,,,,,
,,,,,,,,,,,,All children,,"Poorest 
20%",,"Richest 
20%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,–,,86,,63,,58,,61,,74,,80,,70,,22,,51,,15,,59,,,,,,,,,,
,Albania,5,,13,,57,,37,,89,,43,,38,,37,,52,,51,,29,,26,,,,,,,,,,
,Algeria,7,,11,,36,x,25,x,77,x,36,x,35,x,34,x,–,,52,x,–,,–,,,,,,,,,,
,Andorra,7,,14,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Angola,15,,45,,48,,37,,79,,67,,74,,53,,29,,33,,13,,36,,,,,,,,,,
,Anguilla,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Antigua and Barbuda,9,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Argentina,7,,4,,53,x,32,x,97,x,39,x,49,x,33,x,–,,68,x,–,,–,,,,,,,,,,
,Armenia,9,,0,,41,,44,,90,,29,,32,,24,,36,,72,,24,,22,,,,,,,,,,
,Australia,7,,1,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Austria,7,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Azerbaijan,7,,3,,20,,12,,77,,26,x,24,x,15,x,35,x,–,,–,,38,x,,,,,,,,,
,Bahamas,13,,16,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Bahrain,12,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Bangladesh,28,,68,,51,,55,,65,,92,,94,,85,,27,,64,,23,,53,,,,,,,,,,
,Barbados,–,,2,,40,x,20,x,90,x,41,x,–,"x,p",–,"x,p",–,,61,x,–,,–,,,,,,,,,,
,Belarus,5,,0,,53,x,19,x,95,x,17,x,26,x,19,x,–,,74,x,–,,–,,,,,,,,,,
,Belgium,7,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Belize,9,,1,,68,,33,,79,,47,,59,,37,,58,,68,x,–,,30,,,,,,,,,,
,Benin,17,,40,,54,,41,,56,,69,,77,,52,,26,,45,,15,,54,,,,,,,,,,
,Bhutan,12,,28,,78,,51,,87,,80,x,88,x,76,x,–,,63,x,–,,–,,,,,,,,,,
,Bolivia (Plurinational State of),7,,17,,55,,58,,81,x,55,,74,"x,r",53,"x,r",64,x,–,,–,,20,x,,,,,,,,,
,Bosnia and Herzegovina,3,,2,,42,x,18,x,76,x,12,x,16,x,10,x,–,,72,x,–,,–,,,,,,,,,,
,Botswana,16,,5,,53,,30,,73,,15,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Brazil,8,,3,,43,x,39,x,94,x,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,British Virgin Islands,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Brunei Darussalam,11,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Bulgaria,10,,6,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Burkina Faso,13,,36,,56,,48,,75,,90,x,93,x,77,x,5,x,57,,3,x,75,x,,,,,,,,,
,Burundi,15,,20,,85,,82,,86,,89,,92,,84,,18,,39,,10,,9,,,,,,,,,,
,Cabo Verde,–,,–,,73,x,60,x,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Cambodia,12,,9,,63,,65,,82,,58,,65,,39,,40,,72,,30,,35,,,,,,,,,,
,Cameroon,12,,40,,31,,28,,83,,46,,75,,16,,23,,60,,16,,42,,,,,,,,,,
,Canada,6,,1,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Central African Republic,15,,39,,53,,29,,94,x,66,x,74,x,57,x,27,x,20,x,9,x,22,x,,,,,,,,,
,Chad,–,,88,,23,,<1.0,,59,,79,,82,,68,,9,,37,,6,,70,,,,,,,,,,
,Chile,6,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,China,5,,0,,29,,21,,83,,–,,–,,–,,35,,69,,25,,–,,,,,,,,,,
,Colombia,10,,18,,72,,36,,78,,45,x,49,x,33,x,–,,61,,–,,–,,,,,,,,,,
,Comoros,24,,33,,34,x,11,x,80,x,65,x,68,x,69,x,22,x,30,x,6,x,52,x,,,,,,,,,
,Congo,12,,10,,25,,33,,84,,32,,54,,20,,14,,32,,5,,51,,,,,,,,,,
,Cook Islands,3,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Costa Rica,7,,2,,60,x,33,x,90,x,40,x,50,x,13,x,–,,79,x,–,,–,,,,,,,,,,
,Côte d'Ivoire,15,,25,,37,,23,,65,,63,,76,,36,,23,,49,,14,,44,,,,,,,,,,
,Croatia,5,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Cuba,5,,5,,48,,33,,91,,31,,–,,–,,70,,79,,56,,27,,,,,,,,,,
,Cyprus,–,,27,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Czechia,8,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Democratic People's Republic of Korea,–,,0,,43,,71,,78,,–,,–,,–,,47,,75,,29,,–,,,,,,,,,,
,Democratic Republic of the Congo,11,,24,,52,,47,,79,,82,,87,,67,,17,,35,,8,,29,,,,,,,,,,
,Denmark,5,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Djibouti,–,,–,,52,x,12,x,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Dominica,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Dominican Republic,11,,4,,38,,5,,81,,20,,27,,14,,51,,80,,43,,35,,,,,,,,,,
,Ecuador,11,,19,,55,x,40,x,74,x,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Egypt,–,,39,,27,,40,,75,,50,,58,,43,,35,,60,,23,,45,,,,,,,,,,
,El Salvador,10,,7,,42,,47,,90,,67,,71,,57,,73,,87,,65,,16,,,,,,,,,,
,Equatorial Guinea,–,,30,,–,,7,x,–,,31,x,47,"x,r",34,"x,r",–,,39,x,–,,–,,,,,,,,,,
,Eritrea,–,,65,,93,x,69,x,44,x,86,x,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Estonia,4,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Eswatini,10,,9,,48,,64,,90,,28,,29,,19,,48,,85,,38,,–,,,,,,,,,,
,Ethiopia,–,,86,,73,,57,,60,,85,,84,,83,,12,,45,,7,,69,,,,,,,,,,
,Fiji,–,,11,x,57,x,40,x,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Finland,4,,6,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,France,7,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Gabon,14,,9,,32,x,5,x,82,x,23,x,34,x,19,x,18,x,–,,–,,52,x,,,,,,,,,
,Gambia,17,,41,,52,,47,,55,,78,,81,,69,,10,,58,,8,,76,,,,,,,,,,
,Georgia,6,,0,,69,x,55,x,85,x,30,x,31,x,31,x,–,,–,,–,,–,,,,,,,,,,
,Germany,7,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Ghana,14,,40,,56,,52,,73,,76,,92,,71,,24,,43,,13,,51,,,,,,,,,,
,Greece,9,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Grenada,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Guatemala,11,,6,,63,,53,,80,,72,,85,,48,,59,,82,,52,,27,,,,,,,,,,
,Guinea,–,,49,,34,,33,,54,,78,,91,r,53,r,6,,24,,2,,85,,,,,,,,,,
,Guinea-Bissau,21,,56,,34,,53,,57,,77,,83,,57,,10,,57,,8,,44,,,,,,,,,,
,Guyana,16,,11,,49,,21,,81,,46,,64,,25,,40,,63,,28,,33,,,,,,,,,,
,Haiti,–,,67,,47,,40,,91,,52,,59,,43,,19,,39,,11,,55,,,,,,,,,,
,Holy See,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Honduras,11,,17,,64,x,31,x,86,x,59,x,76,x,42,x,61,x,86,x,55,x,36,x,,,,,,,,,
,Hungary,9,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Iceland,4,,8,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,India,–,z,22,,41,,55,,46,,80,,88,,69,,20,,36,,10,,55,,,,,,,,,,
,Indonesia,10,,10,,58,,51,,86,,67,,74,,56,,54,,72,,40,,18,,,,,,,,,,
,Iran (Islamic Republic of),–,,–,,69,x,53,x,76,x,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Iraq,–,,28,,32,,26,,85,,35,,47,,32,,45,,78,,35,,25,,,,,,,,,,
,Ireland,6,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Israel,8,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Italy,7,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Jamaica,15,,4,,65,x,24,x,64,x,38,x,39,x,29,x,–,,42,x,–,,–,,,,,,,,,,
,Japan,9,,5,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Jordan,14,,5,,67,,25,,83,,26,,28,,33,,35,,62,,23,,41,,,,,,,,,,
,Kazakhstan,5,,1,,83,,38,,66,,41,,40,,45,,49,,77,,38,,21,,,,,,,,,,
,Kenya,11,,34,,62,,61,,80,,75,,79,,69,,36,,51,,22,,29,,,,,,,,,,
,Kiribati,–,,24,x,80,x,66,x,70,x,85,x,92,x,80,x,27,x,–,,–,,–,,,,,,,,,,
,Kuwait,10,,30,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Kyrgyzstan,6,,0,,81,,46,,91,,47,,53,,36,,60,,76,,44,,14,,,,,,,,,,
,Lao People's Democratic Republic,17,,33,,50,,44,,87,,43,,66,,19,,36,,70,,27,,36,,,,,,,,,,
,Latvia,5,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Lebanon,9,,0,,41,x,–,,–,,14,x,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Lesotho,15,,17,,65,,67,,83,,53,,74,,26,,17,,61,,11,,50,,,,,,,,,,
,Liberia,–,,77,,61,,55,,47,,69,,76,,53,,10,,30,,5,,39,,,,,,,,,,
,Libya,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Liechtenstein,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Lithuania,5,,7,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Luxembourg,7,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Madagascar,17,,60,x,66,x,42,x,90,x,79,x,79,x,77,x,22,x,–,,–,,33,x,,,,,,,,,
,Malawi,14,,16,,76,,59,,85,,84,,87,,78,,23,,29,,8,,23,,,,,,,,,,
,Malaysia,11,,1,,–,,40,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Maldives,12,,11,,67,,63,,97,,73,,79,,–,p,71,,70,,51,,15,,,,,,,,,,
,Mali,–,,63,,53,,40,,42,,79,,82,r,73,r,11,,23,,3,,70,,,,,,,,,,
,Malta,6,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Marshall Islands,–,,10,,61,,43,,64,,36,,25,,–,p,34,,61,,16,,46,,,,,,,,,,
